iteration,major_radius_m,toroidal_field_t,plasma_current_ma,net_electric_power_mw,coe_usd_mwh,objective,plasma_power_balance_residual,q95,q95_margin,beta_n,beta_n_margin,max_abs_equality_residual,min_inequality_margin
14,7.176977081807185,9.999999999993328,21.449528142917536,2004.5304421851022,153.73403761723637,-0.4671900660127386,2.5982904212469292e-06,6.4569098721240366,1.1523032907080122,3.0000000321471596,-1.0715719866993823e-08,2.5982904212469292e-06,-0.0019385288410321887
15,7.177150505964352,10.0,21.44920746306714,2004.5369770235518,153.73847146089446,-0.46715226241460717,4.809759589079477e-07,6.467807560431909,1.155935853477303,3.00000000496325,-1.654416603713571e-09,4.809759589079477e-07,-4.854346499638321e-06
16,7.178191062707027,9.999999999999925,21.44728342664603,2004.5854416716152,153.70835614375915,-0.46750188023402384,1.78365446809039e-05,6.533651493496885,1.1778838311656283,3.00000018819138,-6.273045993765436e-08,0.0018856152855578259,-0.0018820664323184605
17,7.1825831111215255,10.0,21.439161991730003,2004.8408708373613,153.636494722129,-0.4684759236160716,0.00048329673802800246,6.811084848765506,1.2703616162551685,3.000005357099719,-1.78569990631298e-06,0.003848113771605235,-0.0038333625563875856
18,7.186502003332381,9.999999999998229,21.431914789560665,2005.1756469721788,153.54558302416677,-0.469719816730511,0.0014981607609929597,7.053731026167693,1.351243675389231,3.000017360041783,-5.786680594403274e-06,0.008034632717820166,-0.007970591939030512
19,7.186548477542216,9.999999999996183,21.431827989815147,2005.1668968136219,153.54599353246985,-0.46970696148892355,0.0014204704737712747,7.053859091088047,1.3512863636960157,3.0000164487008396,-5.482900279870269e-06,0.008030839056428664,-0.007966858498005241
20,7.186588187300339,10.0,21.431753811118867,2005.1595163514453,153.54633602001633,-0.46969615615128224,0.0013540355983104747,7.0539684995401535,1.351322833180051,3.000015670347107,-5.223449035677655e-06,0.008027606780427566,-0.007963677508916925
21,7.186591529374303,9.999999999979325,21.431747567882937,2005.1588993225816,153.54636448961907,-0.4696952544263908,0.0013484422482729316,7.053977707552617,1.351325902517539,3.000015604926634,-5.201642211331384e-06,0.008027335283871073,-0.007963410318990458
22,7.186594890802867,9.999999999444935,21.43174129121043,2005.1582807722616,153.54639278888052,-0.4696943528834563,0.0013428153791837758,7.053986967505407,1.351328989168469,3.0000155389235292,-5.179641176411565e-06,0.008027067776962283,-0.007963147048484933
23,7.186622107317104,9.999999832939219,21.43169164343581,2005.155235350018,153.5461789808407,-0.4696934455416111,0.0012955313439397286,7.0540628806025465,1.351354293534182,3.0000146083502623,-4.8694500874487305e-06,0.008033730221893784,-0.007969701308246604
24,7.186603653308829,9.99999998581011,21.431725076056843,2005.156855371314,153.5464261514671,-0.46969259385664275,0.0013280128760393382,7.054011160018132,1.3513370533393774,3.000015329678375,-5.109892791714069e-06,0.00802716632143644,-0.007963245750987079
25,7.186031335171881,10.0,21.432772968520645,2005.097136151296,153.57389736276895,-0.46935816252360674,0.0011461416237425511,7.019297341920076,1.3397657806400254,3.0000135758076047,-4.5252692015829155e-06,0.005887365228660426,-0.005852777377107344
